branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
Senate,111,-0.362,116,2009-12-09,Mr. MENENDEZ.,2009,ye heard part european union talk european union said challeng counterfeit drug,"Yes, I have heard they  are part of the European Union, but I  will  talk about what  the European  Union just said about their challenges  with counterfeit drugs","Yes, I have heard they  are part of the European Union, but I  will  talk about what  the European  Union just said about their challenges  with counterfeit drugs"
House,102,-0.514,132,3,Mr. RANGEL.,1991,time event persian gulf econom woe home occupi center stage may tempt drop curtain drug war,"At a  time when events in the  Persian Gulf and economic woes at  home occupy center stage, it may be  tempting to drop  the curtain on  the  drug war","At a  time when events in the  Persian Gulf and economic woes at  home occupy center stage, it may be  tempting to drop  the curtain on  the  drug war"
Senate,107,0.091,123,2002-07-17,Ms. SNOWE.,2002,one dont prescript drug benefit medicar program need chang,"One, we don’t have a prescription  drug benefit in the Medicare Program,  and we need to change that","One, we don’t have a prescription  drug benefit in the Medicare Program,  and we need to change that"
House,101,0.162,200,12,Mr. RAVENEL.,1989,purpos subsect term drug interdict area mean ing given term section cd titl unit state code," (2) For purposes of this subsection, the  term ""drug-interdiction area"" has the mean ing given that term in section 379Cd) of title  10, United States Code"," (2) For purposes of this subsection, the  term ""drug-interdiction area"" has the mean ing given that term in section 379Cd) of title  10, United States Code"
,103,-0.07,582,2,Mr. JACOBS.,1993,magazin may flinch run ac advertis say smoke pro mote zoo breath american die ill relat smoke heroin crack homicid car acci dent fire aid combin social disast smoke addic tion illustr behavior modif especi educ key cost con tainment regard health," Some magazines may  flinch  from  running  ACS advertisements that say ""Smoking pro motes zoo breath"" or ""More Americans die  each year from  illness related to smoking  than from heroin, crack, homicide, car acci dents, fires and AIDS combined.""  The social disaster of the smoking addic tion illustrates why behavior modification,  especially education, is the key to cost-con tainment regarding health"," Some magazines may  flinch  from  running  ACS advertisements that say ""Smoking pro motes zoo breath"" or ""More Americans die  each year from  illness related to smoking  than from heroin, crack, homicide, car acci dents, fires and AIDS combined.""  The social disaster of the smoking addic tion illustrates why behavior modification,  especially education, is the key to cost-con tainment regarding health"
House,113,0.455,27,2013-06-03,Mr. GARDNER.,2013,bill help compani develop manufactur anim drug provid predict time line,This bill will also  help companies that develop and manufacture animal drugs by providing predictable time lines,This bill will also  help companies that develop and manufacture animal drugs by providing predictable time lines
House,109,-0.34700000000000003,2,2006-03-15,Mr. CARNAHAN.,2006,sinc new medicar prescript drug plan took effect begin member bodi heard thousand frustrat senior struggl confus poorli written plan,"Speaker, since  the new Medicare prescription drug  plan took effect at the beginning of  this year, Members of this body have  heard from thousands of frustrated seniors struggling with the confusing and  poorly written plan","Speaker, since  the new Medicare prescription drug  plan took effect at the beginning of  this year, Members of this body have  heard from thousands of frustrated seniors struggling with the confusing and  poorly written plan"
Senate,100,-0.35200000000000004,916,5,Mr. KERRY.,1988,testimoni one defend even made deal get away give polic drug let fli sunset,"And  we have had testimony of how one of  the defendants even made a deal to  get  away by giving  the police  the  drugs and they let him fly off into the  sunset, Mr","And  we have had testimony of how one of  the defendants even made a deal to  get  away by giving  the police  the  drugs and they let him fly off into the  sunset, Mr"
Senate,99,0.185,730,3,Mrs. HAWKINS.,1985,report major compon diplomaci drug amend ment would cut us," The report is a major component of  the diplomacy against drugs amend ment, which would cut off U.S"," The report is a major component of  the diplomacy against drugs amend ment, which would cut off U.S"
House,102,0.043,691,1,Mr. GILMAN.,1992,expenditur meaningless unless us nation commit work drug free nation home commun, But all of these expenditures will be  meaningless unless all of us through out our Nation commit ourselves  to  work  for  a  drug-free nation-in our  homes  and  our  communities, But all of these expenditures will be  meaningless unless all of us through out our Nation commit ourselves  to  work  for  a  drug-free nation-in our  homes  and  our  communities
House,108,0.627,43,2004-01-21,Mr. ROHRABACHER.,2004,disagr gentleman best way attack problem certainli agre make sure young peopl understand seriou problem would greater method tell put stamp disapprov make sure drug test,"Speaker, I  do have some disagreements with the  gentleman as to the best way to attack  this problem, but I certainly agree that  we should make sure that young people  understand just how serious the problem is for them and that there would  be no greater method of telling them  and putting a stamp of disapproval on  it than making sure they have to have  a drug test","Speaker, I  do have some disagreements with the  gentleman as to the best way to attack  this problem, but I certainly agree that  we should make sure that young people  understand just how serious the problem is for them and that there would  be no greater method of telling them  and putting a stamp of disapproval on  it than making sure they have to have  a drug test"
House,101,0.581,1012,7,Mr. WALKER.,1989,drug money not sought rest fiscal,The drug money is not  being sought for the rest of this fiscal  year,The drug money is not  being sought for the rest of this fiscal  year
,109,-0.302,55,2005-02-14,Mr. MORAN of Virginia.,2005,cost multipl open heart surgeri drug rais insur premium becom special problem low incom famili,"The cost of  multiple  open  heart  surgeries,  drugs,  and  raised insurance premiums becomes a special  problem for low income families","The cost of  multiple  open  heart  surgeries,  drugs,  and  raised insurance premiums becomes a special  problem for low income families"
House,99,-0.514,1408,6,Mr. RANGEL.,1986,second barrier drug alcohol educa tion prevent program indian youth lack teacher counselor train deal problem, A second barrier to drug and alcohol educa tion and prevention programs for Indian youth  is the lack of teachers and counselors trained  to deal with these problems, A second barrier to drug and alcohol educa tion and prevention programs for Indian youth  is the lack of teachers and counselors trained  to deal with these problems
House,95,0.043,1211,3,Mr. GILMAN.,1978,hear investig select committe found nearli individu mostli youth nation annual succumb drug abus," In its hearings and investigations, the  select committee has found that nearly  5,000 individuals, again, mostly the youth  of our Nation, annually succumb to drug  abuse"," In its hearings and investigations, the  select committee has found that nearly  5,000 individuals, again, mostly the youth  of our Nation, annually succumb to drug  abuse"
,106,0.456,73,2000-03-23,Mr. GREEN of Wisconsin.,2000,strengthen retir secur system lock away percent social secur surplu provid prescript drug coverag progress,It strengthens the retirement security system by locking away 100 percent of the Social Security surplus  and  providing  for  prescription drug coverage; that is progressive,It strengthens the retirement security system by locking away 100 percent of the Social Security surplus  and  providing  for  prescription drug coverage; that is progressive
Senate,109,0.5489999999999999,117,2005-06-08,Mr. SESSIONS.,2005,look american civil liberti union web site favor believ constitut allow legal drug cannot law legal drug,"If you  look at the  American Civil Liberties Union Web  site, they favor and believe the Constitution  allows  the  legalization  of  drugs;  that  there  cannot be a  law  against legalization of drugs","If you  look at the  American Civil Liberties Union Web  site, they favor and believe the Constitution  allows  the  legalization  of  drugs;  that  there  cannot be a  law  against legalization of drugs"
Senate,100,-0.301,410,1,Mr. MOYNIHAN.,1988,not intraven drug user contract aid, It is not only the intravenous drug  users themselves that are contracting  AIDS, It is not only the intravenous drug  users themselves that are contracting  AIDS
House,113,0.339,13,2013-06-03,Mr. UPTON.,2013,last congress spent signific amount time work import issu success move food drug administr safeti innov act legisl process effort continu beyond enact th congress," Last Congress, we spent a significant  amount of time working on this very  important  issue  as we  successfully  moved the Food and Drug Administration  Safety  and  Innovation  Act  through  the  legislative process, and  our efforts continued beyond enactment and into the 113th Congress"," Last Congress, we spent a significant  amount of time working on this very  important  issue  as we  successfully  moved the Food and Drug Administration  Safety  and  Innovation  Act  through  the  legislative process, and  our efforts continued beyond enactment and into the 113th Congress"
Senate,114,0.259,219,2016-07-06,Mrs. CAPITO.,2016,almost percent state veteran use va health care system vital strengthen va abil help treat opioid addict," With almost 40 percent of our State’s  veterans using the VA health care system, it is vital that we strengthen the  VA’s ability to help treat opioid addiction"," With almost 40 percent of our State’s  veterans using the VA health care system, it is vital that we strengthen the  VA’s ability to help treat opioid addiction"
,103,-0.39,968,1,Mr. MEEHAN.,1994,must insist drug dealer rapist crimin street,"We must insist that drug dealers, rapists,  and other criminals are off the streets","We must insist that drug dealers, rapists,  and other criminals are off the streets"
,107,-0.353,172,2002-07-09,Mr. UDALL of Colorado.,2002,gap coverag leav medicar beneficiari financi liabl thousand dollar drug cost cover medicar beneficiari noth lower price prescript drug," It has a gap  in coverage  that will leave Medicare beneficiaries 100% financially liable for thousands of dollars in drug costs, covers only 6% of Medicare beneficiaries, and does nothing to lower the price of prescription drugs"," It has a gap  in coverage  that will leave Medicare beneficiaries 100% financially liable for thousands of dollars in drug costs, covers only 6% of Medicare beneficiaries, and does nothing to lower the price of prescription drugs"
House,95,0.043,1211,3,Mr. GILMAN.,1978,ran gell select committe narcot ic abus control member held seri hear septemb novemb new york citi regard rampant use abus drug new york citi school system,"RAN GELL), the Select Committee on Narcot ics Abuse and Control, of which I am a  member, held a  series of hearings  in  Sep.tember and November of  in  New York City regarding the rampant  use and abuse of drugs  in New York  City's school system","RAN GELL), the Select Committee on Narcot ics Abuse and Control, of which I am a  member, held a  series of hearings  in  Sep.tember and November of  in  New York City regarding the rampant  use and abuse of drugs  in New York  City's school system"
House,100,-0.4,1501,5,Ms. OAKAR.,1988,although nation inci denc drug abus decreas use children increas dramat,"Although  the national  inci dence of drug abuse is decreasing, its use by  children  is  increasing dramatically","Although  the national  inci dence of drug abuse is decreasing, its use by  children  is  increasing dramatically"
House,105,0.416,543,18,Mr. SHUSTER.,1997,hous not pot plant,This House is  not a potted plant,This House is  not a potted plant
House,102,-0.514,132,3,Mr. RANGEL.,1991,power drug car tel expand network worldwid join allianc crimin organ,Powerful drug car tels  are  expanding  their  networks  worldwide and  joining alliances with  other criminal organizations,Powerful drug car tels  are  expanding  their  networks  worldwide and  joining alliances with  other criminal organizations
House,104,0.326,461,1,Mr. LIVINGSTON.,1996,torney marshal servic ganiz crime drug enforc,At torneys and Marshalls Service and Or ganized Crime and Drug Enforcement  ,At torneys and Marshalls Service and Or ganized Crime and Drug Enforcement  
House,107,0.162,23,2002-03-12,Mrs. ROUKEMA.,2002,passag extens potenti increas threat safeti allow crimin rang drug pusher thiev murder suicid bomber remain america legal,"Passage of this extension has the potential to increase the threat to that safety by allowing criminals,  ranging  from  drug  pushers  to thieves  to murderers  to suicide bombers,  to remain in America legally","Passage of this extension has the potential to increase the threat to that safety by allowing criminals,  ranging  from  drug  pushers  to thieves  to murderers  to suicide bombers,  to remain in America legally"
,96,-0.264,303,13,Mr. WOLFF.,1979,turkey effort thu far not even come close stop vast drug trade flourish colombia sinc earli militari campaign guajira," While Turkey's efforts thus far have not  even come close to stopping the vast drug  trade that has flourish~ in Colombia since  the early 1970s,  the military campaign in  the Guajira"," While Turkey's efforts thus far have not  even come close to stopping the vast drug  trade that has flourish~ in Colombia since  the early 1970s,  the military campaign in  the Guajira"
House,109,-0.39,17,2006-07-18,Mr. MEEHAN.,2006,fail prescript drug plan written prescript drug industri behind close door confus senior," You have a failed prescription drug  plan, written by the prescription drug  industry behind closed doors, that is  confusing seniors"," You have a failed prescription drug  plan, written by the prescription drug  industry behind closed doors, that is  confusing seniors"
Senate,106,0.192,239,1999-03-24,Mr. SMITH of Oregon.,1999,togeth share common goalto help young peopl oregon help peersto lead product drug free live,"Together, they share a  common goal—to help  the young people of Oregon help  themselves and their peers—to lead productive and drug-free lives","Together, they share a  common goal—to help  the young people of Oregon help  themselves and their peers—to lead productive and drug-free lives"
,109,-0.408,359,2005-07-29,Mr. ENGEL.,2005,recoveri process initi maintain abstin drug use requir persist often multipl cours treatment includ behavior base therapi medic," Recovery, or  the process of  initiating and  maintaining abstinence  from drug use,  requires persistent and often multiple courses of  treatment, including behavior based therapies  and for some, medication"," Recovery, or  the process of  initiating and  maintaining abstinence  from drug use,  requires persistent and often multiple courses of  treatment, including behavior based therapies  and for some, medication"
,106,-0.491,79,2000-06-28,Mr. KILPATRICK.,2000,one size fit mean new drug becom avail everyon, If one size fits all means that new drugs become available to everyone then I am for it, If one size fits all means that new drugs become available to everyone then I am for it
,106,-0.392,9,2000-06-28,Mr. WEXLER.,2000,senior deserv second opinion allow vote democrat plan guarante medicar drug coverag,"Speaker, seniors deserve a second opinion by allowing a vote on  the Democratic  plan  which  guarantees Medicare drug coverage","Speaker, seniors deserve a second opinion by allowing a vote on  the Democratic  plan  which  guarantees Medicare drug coverage"
,102,0.336,1549,3,Mr. GOODLING.,1991,present law state person con vict drug crime petit sec retari treasuri exempt firearm prohibit prove circumst regard convict applic record reput applic not like act manner danger public safeti grant relief would not contrari public interest,"Present law states that a person con victed of a drug crime can petition to the Sec retary of the Treasury for an exemption to the  firearms prohibition if they can prove that the  circumstances  regarding  the conviction, and  the applicant's record and reputation, are such  that the applicant will not be likely to act in a  manner dangerous  to public safety and  that  the granting of the relief would not be contrary  to the public interest","Present law states that a person con victed of a drug crime can petition to the Sec retary of the Treasury for an exemption to the  firearms prohibition if they can prove that the  circumstances  regarding  the conviction, and  the applicant's record and reputation, are such  that the applicant will not be likely to act in a  manner dangerous  to public safety and  that  the granting of the relief would not be contrary  to the public interest"
House,107,-0.631,27,2002-09-19,Mr. STARK.,2002,gop doesnt want work appropri bill million disabl elderli depend medicar clamor medicar prescript drug benefit," If  the GOP doesn’t  want to work on appropriations bills, we have  40 million disabled and elderly who depend on  Medicare and have been  clamoring  for a  Medicare prescription drug benefit"," If  the GOP doesn’t  want to work on appropriations bills, we have  40 million disabled and elderly who depend on  Medicare and have been  clamoring  for a  Medicare prescription drug benefit"
House,103,-0.321,604,1,Mr. RICHARDSON.,1994,politic survey drug use among adol cent survey basic com plete earli clinton admini tration,"Now  they are politicizing  the  survey about drug use among adoles cents, a survey that basically was com pleted early on in the Clinton adminis tration","Now  they are politicizing  the  survey about drug use among adoles cents, a survey that basically was com pleted early on in the Clinton adminis tration"
,109,-0.33,183,2005-07-11,Mr. INSLEE.,2005,organ anesthesia profession not alway seen eye eye aana asa work ensur safe administr power anesthesia drug share interest patient safe access anesthesia care respect medicar regul govern lock anesthesia cart,"While  these organizations of anesthesia professionals have not always seen  eye-to-eye, both the AANA and ASA are working to ensure the safe administration of powerful anesthesia drugs, and have shared interest  in patients’ safe access  to anesthesia care  with respect to Medicare regulations governing  locked anesthesia carts","While  these organizations of anesthesia professionals have not always seen  eye-to-eye, both the AANA and ASA are working to ensure the safe administration of powerful anesthesia drugs, and have shared interest  in patients’ safe access  to anesthesia care  with respect to Medicare regulations governing  locked anesthesia carts"
Senate,107,0.342,279,2001-01-22,Mr. GRASSLEY.,2001,look forward work presid bush provid resourc messag necessari let everyon know drug bad drug damag brain bodi drug use hurt friend famili commun futur,"I look forward with working with President Bush  in providing the resources and message  necessary  to  let  everyone know that drugs are bad, that drugs will damage your brain and your body, and that drug use will hurt you, your friends, your family, your community, and your future","I look forward with working with President Bush  in providing the resources and message  necessary  to  let  everyone know that drugs are bad, that drugs will damage your brain and your body, and that drug use will hurt you, your friends, your family, your community, and your future"
,101,0.6,706,16,Mr. DUNCAN.,1989,know problem us mani score year alway problem result drug depend ent person etc born," As you know, the problem has been with  us for many scores of years and will always  be a problem as a result of the drug depend ent personalities, etc., with which we are  born"," As you know, the problem has been with  us for many scores of years and will always  be a problem as a result of the drug depend ent personalities, etc., with which we are  born"
House,108,0.528,107,2004-09-08,Mr. BARTON of Texas.,2004,nation household survey drug abus report percent adult age depend abus illicit drug alcohol, (15) The 2001 National Household Survey on  Drug Abuse also reported that 18.4 percent of  adults aged 18 to 24 are dependent on or abusing illicit drugs or alcohol, (15) The 2001 National Household Survey on  Drug Abuse also reported that 18.4 percent of  adults aged 18 to 24 are dependent on or abusing illicit drugs or alcohol
House,99,-0.514,1408,6,Mr. RANGEL.,1986,drug alcohol abus educ prevent program indian youth special critic need,Drug and alcohol  abuse education and prevention programs for  Indian youth are a special and critical need,Drug and alcohol  abuse education and prevention programs for  Indian youth are a special and critical need
Senate,107,0.091,123,2002-07-17,Ms. SNOWE.,2002,dont someth tri put downward pressur prescript drug price cannot afford put prescript drug benefit medicar program,"If we  don’t do something to try to put some  downward  pressure  on  prescription  drug prices, we cannot afford putting a  prescription drug benefit in the Medicare Program","If we  don’t do something to try to put some  downward  pressure  on  prescription  drug prices, we cannot afford putting a  prescription drug benefit in the Medicare Program"
Senate,113,-0.266,37,2013-12-20,Mrs. FEINSTEIN.,2013,recogn destruct ecolog impact illeg marijuana cultiv legisl direct unit state sentenc commiss review amend feder sentenc guidelin account environment crime drug traffick commit public trespass land," Recognizing the destructive ecological impact of illegal marijuana cultivation, this legislation directs the United  States Sentencing Commission to review and amend Federal  sentencing  guidelines to account for the environmental crimes drug traffickers commit  on public and trespassed lands"," Recognizing the destructive ecological impact of illegal marijuana cultivation, this legislation directs the United  States Sentencing Commission to review and amend Federal  sentencing  guidelines to account for the environmental crimes drug traffickers commit  on public and trespassed lands"
Senate,111,-0.362,116,2009-12-09,Mr. MENENDEZ.,2009,mayb come indirectli number countri proven make taint medicin not part european union counterfeit drug european union get suppli chain ultim get us allow happen,"Or maybe they  will come indirectly from any number  of countries that have proven to make  tainted medicine; those who are not  part of the European Union but who  are counterfeiting their drugs into the  European Union,  getting  into  their  supply chain and ultimately getting to  us, if we were to allow it to happen","Or maybe they  will come indirectly from any number  of countries that have proven to make  tainted medicine; those who are not  part of the European Union but who  are counterfeiting their drugs into the  European Union,  getting  into  their  supply chain and ultimately getting to  us, if we were to allow it to happen"
House,103,0.591,504,7,Mr. HEFLEY.,1994,representa tive one poorest district coun tri know like constitu live constant fear ol crime violenc brought drug traffick drug use,"As  the Representa tive of one of the poorest districts in the coun try, I know what it's like for my constituents to  live in constant fear ol crime, and the violence  brought about by drug  trafficking and drug  use","As  the Representa tive of one of the poorest districts in the coun try, I know what it's like for my constituents to  live in constant fear ol crime, and the violence  brought about by drug  trafficking and drug  use"
Senate,107,0.091,123,2002-07-17,Ms. SNOWE.,2002,ask unanim consent show prescript drug bottl describ real problem, I ask unanimous consent to show  some prescription drug bottles that describe the real problem, I ask unanimous consent to show  some prescription drug bottles that describe the real problem
House,113,-0.115,13,2013-06-03,Mr. MATHESON.,2013,fact think counterfeit drug trade may lucr opportun illeg drug trade sinc unit state overal spend roughli billion prescript drug," In  fact, when you  think about  it, the counterfeit drug  trade may be a more lucrative opportunity  than  the  illegal drug  trade,  since the United States, overall, spends  roughly $325 billion a year on prescription drugs"," In  fact, when you  think about  it, the counterfeit drug  trade may be a more lucrative opportunity  than  the  illegal drug  trade,  since the United States, overall, spends  roughly $325 billion a year on prescription drugs"
House,102,-0.379,158,1,Mr. HOYER.,1992,unlik mani stori port youth death kenneth not die drug money hip sneak er careless glanc," Unlike  too many of  the  stories  re ported about youthful deaths, Kenneth  did not die over drug money, hip sneak ers, or a careless glance"," Unlike  too many of  the  stories  re ported about youthful deaths, Kenneth  did not die over drug money, hip sneak ers, or a careless glance"
,102,0.336,1549,3,Mr. GOODLING.,1991,howev creas price drug use peopl choos continu illeg self de structiv activ," It will, however,  in crease the price of drug-use for people who  choose  to continue  this  illegal and self-de structive activity"," It will, however,  in crease the price of drug-use for people who  choose  to continue  this  illegal and self-de structive activity"
,102,-0.269,1433,18,Mr. ANDERSON.,1991,spent last sacramento staf california council crimin justic state task forc gang drug,She spent her last year in  Sacramento staffing the California Council on  Criminal Justice State Task Force on Gangs  and Drugs,She spent her last year in  Sacramento staffing the California Council on  Criminal Justice State Task Force on Gangs  and Drugs
House,100,-0.304,183,17,Mr. FEIGHAN.,1988,congress confront drug gun control head avoid issu," Congress can confront this drug-gun  control head on, or it can avoid the  issue"," Congress can confront this drug-gun  control head on, or it can avoid the  issue"
,100,0.227,235,17,Mr. BROOMFIELD.,1988,militari enlist administra tion first declar illeg drug threat nation secur first implement chang law allow depart defens dod support feder drug law enforc effort, The Military Enlists.-This Administra tion was the first to declare illegal drugs a  threat to national security and the first to  implement a change in the law allowing the  Department of Defense <DOD>  to support  other Federal drug-law enforcement efforts, The Military Enlists.-This Administra tion was the first to declare illegal drugs a  threat to national security and the first to  implement a change in the law allowing the  Department of Defense <DOD>  to support  other Federal drug-law enforcement efforts
House,107,-0.402,53,2001-02-13,Mr. PALLONE.,2001,unveil prescript drug benefit almost like not even import,"When he unveiled his prescription drug benefit, it was almost like it was not even important","When he unveiled his prescription drug benefit, it was almost like it was not even important"
Senate,100,-0.301,410,1,Mr. MOYNIHAN.,1988,one quarter death peopl result ed intraven drug use,"One-quarter of  these deaths, 7 ,000 people, have result ed from intravenous drug use","One-quarter of  these deaths, 7 ,000 people, have result ed from intravenous drug use"
House,101,0.34700000000000003,174,12,Mr. HOPKINS.,1989,vote ye mav roul drug interdict amend," But for now, vote ""yes"" on the Mav roules drug interdiction amendment"," But for now, vote ""yes"" on the Mav roules drug interdiction amendment"
Senate,107,0.342,279,2001-01-22,Mr. GRASSLEY.,2001,meant young peopl use drug younger age,What all of this ‘‘more’’ has meant  is that we have more young people using more drugs at younger ages,What all of this ‘‘more’’ has meant  is that we have more young people using more drugs at younger ages
Senate,96,-0.091,847,6,Mr. TALMADGE.,1980,year ago food drug admini tration began examin use variou anim drug mani vital hog product,"A few  years ago, the Food and Drug Adminis tration began an examination of the use  of various animal drugs, many of which  are vital  to hog production","A few  years ago, the Food and Drug Adminis tration began an examination of the use  of various animal drugs, many of which  are vital  to hog production"
House,101,-0.313,1012,7,Mr. SMITH of Iowa.,1989,hous either move strike provis appropri money war drug er amend reduc amount bill fund,If that is your will and if that is  the will of the House either move to  strike  the  provisions  appropriating  more money for the war on drugs or  off er an amendment  to  reduce  the  amounts in the bill for such funding,If that is your will and if that is  the will of the House either move to  strike  the  provisions  appropriating  more money for the war on drugs or  off er an amendment  to  reduce  the  amounts in the bill for such funding
House,104,-0.361,855,17,Mr. MANTON.,1996,pleas legisl incorpor fda propos includ vice presid reinvent gov ernment initi one duce unnecessari requir pa perwork associ feed mill li cens anoth author fda establish import toler anim drug not approv use unit state," We are pleased that this legislation  incorporates FDA proposals included in  the Vice President's reinventing Gov ernment initiatives, one that will re duce unnecessary requirements and pa perwork associated with feed mill li censing and another that will authorize  FDA to establish import tolerances for  animal drugs not approved for use in  the United States"," We are pleased that this legislation  incorporates FDA proposals included in  the Vice President's reinventing Gov ernment initiatives, one that will re duce unnecessary requirements and pa perwork associated with feed mill li censing and another that will authorize  FDA to establish import tolerances for  animal drugs not approved for use in  the United States"
,106,0.339,257,2000-09-19,Mr. WALDEN of Oregon.,2000,age school shoot captur headlin busi combat teen drug use shame colleagu would assail organ dedic principl goal boy scout,"In an age when school shootings capture headlines and we busy ourselves combating teen drug use, it is shameful that some of my colleagues would assail an organization dedicated to such principled goals as the Boy Scouts","In an age when school shootings capture headlines and we busy ourselves combating teen drug use, it is shameful that some of my colleagues would assail an organization dedicated to such principled goals as the Boy Scouts"
House,95,-0.44,821,5,Mr. BEILENSON.,1977,letter gener counsel civll aeronaut board transmit pot board activ free dom inform act calendar pursuant usc,"A  letter from  the General Counsel,  Civll Aeronautics Board, transmitting a re po!""t on the Board's activities under the Free dom of Information Act during calendar year  1976, pursuant to 5 U.S.C","A  letter from  the General Counsel,  Civll Aeronautics Board, transmitting a re po!""t on the Board's activities under the Free dom of Information Act during calendar year  1976, pursuant to 5 U.S.C"
,114,0.333,114,2016-07-06,Mr. CRENSHAW.,2016,program prevent prescript drug abus medicar part c, 704.Programs to prevent prescription drug  abuse under Medicare parts C and  D, 704.Programs to prevent prescription drug  abuse under Medicare parts C and  D
,112,0.5539999999999999,124,2012-06-05,Mr. STEARNS.,2012,food drug administr reform act hr,"Speaker, the Food and  Drug Administration Reform Act, H.R","Speaker, the Food and  Drug Administration Reform Act, H.R"
Senate,99,0.185,730,3,Mrs. HAWKINS.,1985,peru brazil report increas coca marijuana product bolivia condemn state depart report not erad singl coca plant despit larg scale assist unit state report describ bolivia major di appoint,"Peru and Brazil are reported as  having also increased their coca and  marijuana production, and Bolivia is  condemned in the State Department  report  for not having eradicated a  ""single coca plant."" Despite large-scale  assistance from the United States, the  report describes Bolivia as a major dis appointment","Peru and Brazil are reported as  having also increased their coca and  marijuana production, and Bolivia is  condemned in the State Department  report  for not having eradicated a  ""single coca plant."" Despite large-scale  assistance from the United States, the  report describes Bolivia as a major dis appointment"
,104,0.322,1215,1,Mr. DOLE.,1996,one eloqu effec tive soldier war drug former first ladi nanci reagan, One of the most eloquent and effec tive soldiers in the war against drugs is  former  First Lady Nancy  Reagan, One of the most eloquent and effec tive soldiers in the war against drugs is  former  First Lady Nancy  Reagan
