branch,congressID,ideology_score,page,part,speaker,year,sentence,sentence_raw,sentence_unclean
House,107,-0.402,53,2001-02-13,Mr. PALLONE.,2001,think hope campaign heard presid bush talk issu hmo reform prescript drug benefit go see quick action,"I think we were very hopeful during the campaign when we heard President Bush then talk about these issues, the HMO reform, prescription drug benefit, that we were going to see quick action on it","I think we were very hopeful during the campaign when we heard President Bush then talk about these issues, the HMO reform, prescription drug benefit, that we were going to see quick action on it"
Senate,100,-0.35200000000000004,916,5,Mr. KERRY.,1988,fact state de partment report say percent marijuana cocain enter unit state come bahama percent marijuana co cain enter unit state come mexico, But the fact  is  that the State De partment report says 50 to 60 percent  of all the marijuana and cocaine that  enters  the  United  States  comes  through  the Bahamas and 30  to 35  percent of all the marijuana and co caine  entering  the United  States  comes through Mexico, But the fact  is  that the State De partment report says 50 to 60 percent  of all the marijuana and cocaine that  enters  the  United  States  comes  through  the Bahamas and 30  to 35  percent of all the marijuana and co caine  entering  the United  States  comes through Mexico
Senate,106,0.192,239,1999-03-24,Mr. SMITH of Oregon.,1999,addit partnership resourc center provid commun famili materi provid answer question alcohol tobacco drug,"In addition, the Partnership’s resource center provides communities and families with materials that provide answers to questions about alcohol, tobacco and other drugs","In addition, the Partnership’s resource center provides communities and families with materials that provide answers to questions about alcohol, tobacco and other drugs"
House,108,0.122,55,2003-07-14,Mrs. JOHNSON of Connecticut.,2003,one reason bill effici effici rate cbo save money senior prescript drug program plan sponsor not tool manag prescript drug costeffect way motiv,"One of the reasons our bill is so  very efficient and the most efficient  and rated by CBO as saving the most  money for our seniors under the prescription drug program is because the  plan’s sponsors have not only the tools  to manage prescription drugs in a costeffective way, they have the motivation","One of the reasons our bill is so  very efficient and the most efficient  and rated by CBO as saving the most  money for our seniors under the prescription drug program is because the  plan’s sponsors have not only the tools  to manage prescription drugs in a costeffective way, they have the motivation"
Senate,106,-0.326,30,1999-01-22,Mr. ROCKEFELLER.,1999,new drug becom avail fight cancer new commun hardwar allow peopl connect internet advanc fuel cell technolog lead low emiss high effici altern fuel vehicl,"New drugs are becoming available for fighting cancer; new communication hardware is allowing more people to connect to the  internet; and advances in fuel-cell technology are leading to low-emission, high-efficiency alternative fuel vehicles","New drugs are becoming available for fighting cancer; new communication hardware is allowing more people to connect to the  internet; and advances in fuel-cell technology are leading to low-emission, high-efficiency alternative fuel vehicles"
Senate,107,0.091,193,2001-07-17,Ms. SNOWE.,2001,result spice creat partnership feder govern privat insur share cost risk offer outpati prescript drug coverag senior popul,"As a  result, SPICE 2001 now creates a partnership between the Federal Government and private insurers to share the  cost, and  the  risk, of offering outpatient prescription drug coverage for  our senior population","As a  result, SPICE 2001 now creates a partnership between the Federal Government and private insurers to share the  cost, and  the  risk, of offering outpatient prescription drug coverage for  our senior population"
,102,0.382,1325,7,Mr. OXLEY.,1991,colombian drug cartel stop noth ing retali govern offici challeng busi, The Colombian drug cartels will stop at noth ing to retaliate against any government official  who challenges their businesses, The Colombian drug cartels will stop at noth ing to retaliate against any government official  who challenges their businesses
Senate,106,-0.443,162,2000-04-11,Mr. KENNEDY.,2000,teach hospit face substanti higher cost drug labor medic devic new technolog," Teaching hospitals are  facing substantially higher costs for drugs, labor,  medical devices and new technologies"," Teaching hospitals are  facing substantially higher costs for drugs, labor,  medical devices and new technologies"
House,109,0.417,33,2005-06-08,Mr. NUSSLE.,2005,provid billion salari expens food drug administr fda increas million percent enact level decreas million presid request,"2744 provides $1.8 billion for the salaries and expenses of the Food and Drug Administration [FDA], an increase of $55.3 million, or 3.1 percent, above the 2005 enacted  level and a decrease of $17.7 million below  the President’s request","2744 provides $1.8 billion for the salaries and expenses of the Food and Drug Administration [FDA], an increase of $55.3 million, or 3.1 percent, above the 2005 enacted  level and a decrease of $17.7 million below  the President’s request"
House,114,0.6459999999999999,13,2016-05-12,Mr. SENSENBRENNER.,2016,legisl author attorney gener make grant avail state local number servic relat opioid heroin abus, My legislation authorizes the Attorney  General to make grants available to  States and localities for a number of  services related to opioid and heroin  abuse, My legislation authorizes the Attorney  General to make grants available to  States and localities for a number of  services related to opioid and heroin  abuse
,114,0.333,114,2016-07-06,Mr. CRENSHAW.,2016,author attorney gener award grant address nation epidem prescript opioid abus heroin use conferencereporth,524) to authorize the Attorney  General to award grants to address the  national  epidemics  of  prescription  opioid abuse and heroin use:  CONFERENCEREPORT(H,524) to authorize the Attorney  General to award grants to address the  national  epidemics  of  prescription  opioid abuse and heroin use:  CONFERENCEREPORT(H
House,108,0.251,36,2004-06-01,Mr. ENGLISH.,2004,interest politician special interest group narrow agenda run prescript drug benefit ineffect,"Speaker, what is interesting to  me is some politicians and special interest groups with their own narrow  agendas have run down the prescription drug benefit as ineffective","Speaker, what is interesting to  me is some politicians and special interest groups with their own narrow  agendas have run down the prescription drug benefit as ineffective"
House,108,-0.201,16,2003-11-18,Mr. ROSS.,2003,windfal big drug manufactur see fingerprint bill today go confer ag appropri bill,"It is  a windfall for the big drug manufacturers, and now we see their fingerprints  all over this bill today to go to conference on the ag appropriations bill","It is  a windfall for the big drug manufacturers, and now we see their fingerprints  all over this bill today to go to conference on the ag appropriations bill"
,106,-0.324,85,2000-07-11,Mr. GREEN of Texas.,2000,congress budget offic conclud half medicar beneficiari not drug coverag today would not cover republican privat insur plan,"Congress, our own budget office, concluded that more than half of our Medicare beneficiaries who do not have drug coverage today would not be covered by the Republican private  insurance plan","Congress, our own budget office, concluded that more than half of our Medicare beneficiaries who do not have drug coverage today would not be covered by the Republican private  insurance plan"
,106,-0.402,1,2000-01-24,Mr. DOGGETT.,2000,noth educ noth social secur noth environ noth tax reform noth health care prescript drug senior,"Nothing on education, nothing on Social Security, nothing on the environment,  nothing  on  tax  reform, nothing on health care or prescription drugs for seniors","Nothing on education, nothing on Social Security, nothing on the environment,  nothing  on  tax  reform, nothing on health care or prescription drugs for seniors"
Senate,107,0.091,193,2001-07-17,Ms. SNOWE.,2001,importantli spice enrolle receiv benefit negoti discount cost prescript drug start first prescript," And, importantly, all SPICE enrollees receive the benefit of the negotiated discount on the cost of their prescription drugs,  starting with  their  first prescription"," And, importantly, all SPICE enrollees receive the benefit of the negotiated discount on the cost of their prescription drugs,  starting with  their  first prescription"
House,107,0.285,144,2002-06-11,Mr. FLETCHER.,2002,mention half ago pass good prescript drug bill hous,"As I mentioned a year and a half ago, we passed a good prescription drug bill out of this House","As I mentioned a year and a half ago, we passed a good prescription drug bill out of this House"
House,113,0.339,13,2013-06-03,Mr. UPTON.,2013,bill strengthen prescript drug suppli chain order protect american famili counterfeit drug, This bill strengthens the prescription  drug supply chain in order to protect  American families against counterfeit  drugs, This bill strengthens the prescription  drug supply chain in order to protect  American families against counterfeit  drugs
,111,0.688,185,2009-06-09,Mr. GARRETT of New Jersey.,2009,young peopl particip import program made commit say drug underag drink gang violenc," The  young people participating  in  this  important  program have made a commitment to say no  to drugs, underage drinking, and gang violence"," The  young people participating  in  this  important  program have made a commitment to say no  to drugs, underage drinking, and gang violence"
House,101,-0.41,735,20,Mr. ALEXANDER.,1989,would direct nearli new money fiscal level drug free school commun program local school district, 3614 would  direct  nearly  all  new  money above the fiscal year 1989 level for the  Drug-Free Schools and Communities Program  to local school districts, 3614 would  direct  nearly  all  new  money above the fiscal year 1989 level for the  Drug-Free Schools and Communities Program  to local school districts
,101,0.6,706,16,Mr. DUNCAN.,1989,revenu would go fund nation war drug, This revenue would go  to  fund our national  war on drugs, This revenue would go  to  fund our national  war on drugs
House,100,-0.473,1210,8,Mr. WAXMAN.,1987,short titl act may cite prescript drug market act," (a) SHORT TITLE.-This Act may be cited  as the ""Prescription Drug Marketing Act of  1987"""," (a) SHORT TITLE.-This Act may be cited  as the ""Prescription Drug Marketing Act of  1987"""
,106,-0.455,43,2000-10-11,Mr. FARR of California.,2000,drug provis sham,The drug provisions are a sham,The drug provisions are a sham
House,104,0.453,301,14,Mr. BURR.,1995,grown well yond establish limit feder food drug cosmet act,"It has grown well be yond its established limits under  the  Federal Food, Drug and Cosmetic Act","It has grown well be yond its established limits under  the  Federal Food, Drug and Cosmetic Act"
Senate,98,-0.224,223,1,Mr. CHILES.,1984,state depart confirm time ago cuba give sanctuari drug smuggl ship refuel mainten, The State Department  confirmed  some  time ago  that Cuba  is giving  sanctuary to drug smuggling ships for  refueling and maintenance, The State Department  confirmed  some  time ago  that Cuba  is giving  sanctuary to drug smuggling ships for  refueling and maintenance
House,108,0.627,43,2004-01-21,Mr. ROHRABACHER.,2004,us pretti wild youth time look said man not seriou young peopl look presid said not seriou administr serious lot reduct use drug,"And some of us  who have had pretty wild youths in our  time looked at that and said this man  is not being serious, and the young people looked at the President and said  this is not being serious, and our administration’s seriousness on this has  had a lot to do with the reduction in  the use of drugs","And some of us  who have had pretty wild youths in our  time looked at that and said this man  is not being serious, and the young people looked at the President and said  this is not being serious, and our administration’s seriousness on this has  had a lot to do with the reduction in  the use of drugs"
,107,-0.472,139,2002-09-19,Mr. FATTAH.,2002,time provid medicar prescript drug benefit, Now is the time to provide a Medicare prescription drug benefit, Now is the time to provide a Medicare prescription drug benefit
House,108,0.251,36,2004-06-01,Mr. ENGLISH.,2004,discount card meant provid transit program especi approxim million medicar beneficiari drug coverag," These discount cards are meant to  provide a transitional program, especially for the approximately 10 million  Medicare beneficiaries who have no  drug coverage"," These discount cards are meant to  provide a transitional program, especially for the approximately 10 million  Medicare beneficiaries who have no  drug coverage"
Senate,107,0.091,193,2001-07-17,Ms. SNOWE.,2001,believ bill benchmark senat consider comprehens patient prescript drug program medicar, I believe that this bill is a benchmark for the Senate’s consideration of  a comprehensive out-patient prescription drug program under Medicare, I believe that this bill is a benchmark for the Senate’s consideration of  a comprehensive out-patient prescription drug program under Medicare
,102,0.382,1325,7,Mr. OXLEY.,1991,openli support extraextens remark dition drug traffick unit state even though meant put life danger,He openly supported the extraEXTENSIONS OF REMARKS  dition of drug traffickers to the United States  even though it meant putting his life in danger,He openly supported the extraEXTENSIONS OF REMARKS  dition of drug traffickers to the United States  even though it meant putting his life in danger
Senate,98,-0.224,223,1,Mr. CHILES.,1984,two year ago express con cern senat mani al legat surfac regard con sider pervas involv cuba drug deal drug smug gling," Two years ago, I expressed my con cern to the Senate about the many al legations surfacing with regard to con siderable and pervasive involvement of  Cuba in drug dealing and drug smug gling"," Two years ago, I expressed my con cern to the Senate about the many al legations surfacing with regard to con siderable and pervasive involvement of  Cuba in drug dealing and drug smug gling"
,105,-0.325,1304,1,Ms. STABENOW.,1998,tenur instrument sever high profil case includ dismantl chamber famili control detroit crack cocain market case result arrest convict toni cato rigg widow gulf war veteran anthoni rigg,"During his  tenure, he was  instrumental  in several high profile cases, including the dismantling of the  Chambers Family's control of Detroit's crack  cocaine market and the case that resulted  in  the arrest and conviction of Toni Cato Riggs,  the widow of Gulf War Veteran Anthony Riggs","During his  tenure, he was  instrumental  in several high profile cases, including the dismantling of the  Chambers Family's control of Detroit's crack  cocaine market and the case that resulted  in  the arrest and conviction of Toni Cato Riggs,  the widow of Gulf War Veteran Anthony Riggs"
House,94,-0.331,1145,2,Mr. SYMINGTON.,1975,melt ing pot melt slowli congress quit accur reflect condit content,The melt ing pot melts slowly and Congress quite  accurately reflects  the condition of its  content,The melt ing pot melts slowly and Congress quite  accurately reflects  the condition of its  content
,106,0.456,73,2000-03-23,Mr. GREEN of Wisconsin.,2000,set asid billion provid prescript drug coverag,It sets aside $40 billion to provide for prescription drug coverage,It sets aside $40 billion to provide for prescription drug coverage
,96,-0.264,303,13,Mr. WOLFF.,1979,result destruct cocain labora tori seizur kilo cocain detruct kilo coca past head laboratori turn granul cocain,"has resulted  in  the destruction of 119  cocaine  labora tories, the seizure of 2,639 kilos of cocaine  and the de<;truction of 19,547 kilos of coca  paste headed for  laboratories to be turned  into granules of cocaine","has resulted  in  the destruction of 119  cocaine  labora tories, the seizure of 2,639 kilos of cocaine  and the de<;truction of 19,547 kilos of coca  paste headed for  laboratories to be turned  into granules of cocaine"
,106,-0.304,45,2000-03-23,Mrs. THURMAN.,2000,go hold senior hostag hostag medicar reform get prescript drug benefit let us face,"Why, why are we going to hold our seniors hostage, hostage to Medicare reform to get a prescription drug benefit? Let us face it","Why, why are we going to hold our seniors hostage, hostage to Medicare reform to get a prescription drug benefit? Let us face it"
Senate,107,-0.374,144,2001-02-13,Mr. LEAHY.,2001,hope innov program establish legisl assist state effort address drug problem affect commun,It is my hope that  the innovative programs established by  this legislation will assist all of our  States in their efforts to address the  drug problems that most affect our  communities,It is my hope that  the innovative programs established by  this legislation will assist all of our  States in their efforts to address the  drug problems that most affect our  communities
,106,0.34,27,2000-03-14,Mr. PETERSON of Pennsylvania.,2000,must somehow stop drug cultur america specif rural america,We must somehow stop the drug culture in all of America and specifically rural America,We must somehow stop the drug culture in all of America and specifically rural America
House,101,0.043,54,3,Mr. GILMAN.,1989,nation reel impact crack smokabl highli addict form cocain brought drug abus drug relat crime violenc terrifi new level,"Our Nation is reeling under the impact  of crack, a smokable, highly addictive form of  cocaine, which has brought drug abuse and  drug-related crime and violence  to  terrifying  new  levels","Our Nation is reeling under the impact  of crack, a smokable, highly addictive form of  cocaine, which has brought drug abuse and  drug-related crime and violence  to  terrifying  new  levels"
Senate,107,-0.374,144,2001-02-13,Mr. LEAHY.,2001,sinc death other come forward say teenag girl burlington prostitut get money buy heroin,"And since her  death, others have come forward to say  that teenage girls  in Burlington are  prostituting themselves to get money  to buy heroin","And since her  death, others have come forward to say  that teenage girls  in Burlington are  prostituting themselves to get money  to buy heroin"
Senate,107,-0.374,144,2001-02-13,Mr. LEAHY.,2001,state vermont one lowest crime rate nation yet experienc seriou troubl abus heroin drug,"My own State of  Vermont has one of the lowest crime  rates in the nation, yet we are experiencing serious troubles because of the  abuse of heroin and other drugs","My own State of  Vermont has one of the lowest crime  rates in the nation, yet we are experiencing serious troubles because of the  abuse of heroin and other drugs"
,113,0.425,90,2014-09-08,Mr. SMITH of Texas.,2014,congratul citi bulverd particip import event assist bulverd polic depart promot joint crime drug violenc prevent effort," Congratulations to the City of Bulverde for  participating in this important event and for assisting the Bulverde Police Department by promoting joint crime, drug, and violence prevention efforts"," Congratulations to the City of Bulverde for  participating in this important event and for assisting the Bulverde Police Department by promoting joint crime, drug, and violence prevention efforts"
,107,-0.353,172,2002-07-09,Mr. UDALL of Colorado.,2002,sinc elect congress not day gone without hear senior struggl pay prescript drug,"Since being elected  to Congress  in 1998, not a day has gone by without my hearing from a senior who is struggling to pay for prescription drugs","Since being elected  to Congress  in 1998, not a day has gone by without my hearing from a senior who is struggling to pay for prescription drugs"
Senate,108,-0.37,121,2003-06-24,Ms. MIKULSKI.,2003,mean million senior drug coverag sever month, What does this mean?  Millions of our seniors will have no  drug coverage for several months out  the year, What does this mean?  Millions of our seniors will have no  drug coverage for several months out  the year
,105,0.282,1060,7,Mr. DAVIS of Virginia.,1997,start pat ent offic serv numer special signment includ primari examin patent drug divis administr assist ant presid commiss pat ent system director patent offic speaker bureau execut secretari commerc technic advisori board com sci fellowship,"In 1955, he started at the Pat ent Office and served in numerous special as signments, including Primary Examiner of the  Patent Drug Division, an Administrative Assist ant to the President's Commission on the Pat ent System, Director of  the Patent Office  Speaker's Bureau, Executive Secretary of the  Commerce Technical Advisory Board, and the  Chairman of the Com-Sci Fellowship","In 1955, he started at the Pat ent Office and served in numerous special as signments, including Primary Examiner of the  Patent Drug Division, an Administrative Assist ant to the President's Commission on the Pat ent System, Director of  the Patent Office  Speaker's Bureau, Executive Secretary of the  Commerce Technical Advisory Board, and the  Chairman of the Com-Sci Fellowship"
House,102,0.382,1172,1,Mr. OXLEY.,1992,presid overal drug use drop percent adol cent drug use drop percent," Under  this President, overall drug  use has dropped 13 percent, and adoles cent drug use has dropped 27 percent"," Under  this President, overall drug  use has dropped 13 percent, and adoles cent drug use has dropped 27 percent"
House,99,-0.514,1408,6,Mr. RANGEL.,1986,com monli report drug abus heroin marijuana pcp usual desig nate inhal,"The most com monly  reported drugs of abuse are heroin,  marijuana, PCP, and  ""other""-usually desig nating inhalants","The most com monly  reported drugs of abuse are heroin,  marijuana, PCP, and  ""other""-usually desig nating inhalants"
,106,-0.491,79,2000-06-28,Mr. KILPATRICK.,2000,restrict afford purchas privat market drug plan,It is restricted to only those who can afford to purchase private market drug plans,It is restricted to only those who can afford to purchase private market drug plans
House,113,0.455,27,2013-06-03,Mr. GARDNER.,2013,program success stori fda legisl ensur drug approv done effici highest qualiti standard," These programs have been a success  story at the FDA, and this legislation  will ensure that drug approvals are  done efficiently and  to  the highest  quality  standards"," These programs have been a success  story at the FDA, and this legislation  will ensure that drug approvals are  done efficiently and  to  the highest  quality  standards"
House,102,-0.41,1013,7,Mr. ALEXANDER.,1991,news assassin min ister justic came palac presid turn said countri hostag drug cartel crimin organ wealth power nation,"When  the  news of this assassination of the Min ister of Justice came to the Palace, the  President turned to me and said that  his country was ""a hostage to the drug  cartel."" The criminal organization that  has the wealth and power of a nation","When  the  news of this assassination of the Min ister of Justice came to the Palace, the  President turned to me and said that  his country was ""a hostage to the drug  cartel."" The criminal organization that  has the wealth and power of a nation"
House,106,-0.378,24,1999-06-07,Mr. LEVIN.,1999,suspens reduct relat duti certain anti hiv aid cancer drug duti chemic raw materi miscellan equip,"These suspensions and reductions relate  to duties on certain anti-HIV, AIDS and cancer drugs and duties on chemicals,  raw materials,  and miscellaneous equipment","These suspensions and reductions relate  to duties on certain anti-HIV, AIDS and cancer drugs and duties on chemicals,  raw materials,  and miscellaneous equipment"
Senate,107,0.342,279,2001-01-22,Mr. GRASSLEY.,2001,today compet drug cultur tell children drug cool drug safe drug aggress market present user friendli,"Today we are competing with a drug culture that tells our children ‘‘drugs are cool,’’ that ‘‘drug are safe.’’ Drugs are being more aggressively marketed, and are presented as being ‘‘user friendly’’","Today we are competing with a drug culture that tells our children ‘‘drugs are cool,’’ that ‘‘drug are safe.’’ Drugs are being more aggressively marketed, and are presented as being ‘‘user friendly’’"
House,113,-0.115,13,2013-06-03,Mr. MATHESON.,2013,lattaand introduc togeth provid think import step secur prescript drug suppli chain counterfeit bad actor,LATTAand I  have introduced together will provide  what I think are important steps for  the security of our prescription drug  supply chain from counterfeiters and  other bad actors,LATTAand I  have introduced together will provide  what I think are important steps for  the security of our prescription drug  supply chain from counterfeiters and  other bad actors
Senate,110,-0.245,44,2008-03-04,Ms. KLOBUCHAR.,2008,gave drug tri revers wouldnt wake,"So they gave him drugs to try  to reverse it, but he wouldn’t wake up","So they gave him drugs to try  to reverse it, but he wouldn’t wake up"
Senate,107,-0.314,48,2001-01-29,Mr. BIDEN.,2001,approxim percent state prison percent feder prison histori drug use abus,Approximately 70 percent of state prisoners and 57 percent of federal prisoners have a history of drug use or abuse,Approximately 70 percent of state prisoners and 57 percent of federal prisoners have a history of drug use or abuse
House,100,-0.407,1453,11,Mr. BROOKS.,1988,ask unanim consent commit tee govern oper given permiss meet oclock wednesday june minut rule purpos mark ing drug free workplac bill,"Speaker, I ask  unanimous consent that the Commit tee  on Government Operations  be  given permission to meet at 10 o'clock,  Wednesday, June 29, 1988, during the  5-minute rule for the purpose of mark ing up the drug-free workplace bill","Speaker, I ask  unanimous consent that the Commit tee  on Government Operations  be  given permission to meet at 10 o'clock,  Wednesday, June 29, 1988, during the  5-minute rule for the purpose of mark ing up the drug-free workplace bill"
House,114,0.5379999999999999,19,2016-02-12,Mr. PITTS.,2016,food drug administr fda,Food and  Drug Administration (FDA),Food and  Drug Administration (FDA)
,106,0.366,79,2000-06-28,Mr. KNOLLENBERG.,2000,compar survey reveal peopl age spent averag prescript drug,"Compare  that  to 1970, a year when surveys revealed that people over the age of 65 spent an average of $56 on prescription drugs","Compare  that  to 1970, a year when surveys revealed that people over the age of 65 spent an average of $56 on prescription drugs"
House,100,-0.435,348,2,Mr. RODINO.,1987,pa sage last omnibu drug control legisla tion congress sought devis comprehen sive bipartisan strategi curb drug abus,"Speaker, with  the pas sage last year of omnibus drug control legisla tion Congress sought to devise a comprehen sive, bipartisan strategy to curb drug abuse","Speaker, with  the pas sage last year of omnibus drug control legisla tion Congress sought to devise a comprehen sive, bipartisan strategy to curb drug abuse"
House,103,0.51,201,20,Mr. MANZULLO.,1993,not go stop crime passion drug relat crime therefor issu not gun crimi nal therefor support follow measur first alreadi feder crime felon firearm support bill provid state put magnet strip back driver licens state encod read whether someon felon adjud court possess firearm," It's not  going to stop crimes of passion or drug-related  crimes.""  Therefore, the issue is not guns, but crimi nals, and therefore  I supported the  following  measures:  First, because it is already a Federal crime  for a felon  to own a firearm,  I support a bill  that provides for States to put a magnetic strip  on  the back of all drivers' licenses-or other  State 1.0.-encoded to read whether someone  is a felon or adjudicated by a court to own or  possess a firearm"," It's not  going to stop crimes of passion or drug-related  crimes.""  Therefore, the issue is not guns, but crimi nals, and therefore  I supported the  following  measures:  First, because it is already a Federal crime  for a felon  to own a firearm,  I support a bill  that provides for States to put a magnetic strip  on  the back of all drivers' licenses-or other  State 1.0.-encoded to read whether someone  is a felon or adjudicated by a court to own or  possess a firearm"
Senate,100,-0.35200000000000004,916,5,Mr. KERRY.,1988,westrat compar level cooper bahama drug agenc receiv gener noriega, Westrate compared the level of cooperation  in the Bahamas to that of the drug agency  received from General Noriega, Westrate compared the level of cooperation  in the Bahamas to that of the drug agency  received from General Noriega
,113,0.4920000000000001,443,2013-12-12,Mr. HULTGREN.,2013,instanc accord gao report feder drug abus prevent treatment program spread among astound differ agenc," For instance, according to the GAO report,  there are 76 federal drug abuse and prevention treatment programs, spread among an astounding 17 different agencies"," For instance, according to the GAO report,  there are 76 federal drug abuse and prevention treatment programs, spread among an astounding 17 different agencies"
,104,0.322,1215,1,Mr. DOLE.,1996,could forgotten quickli longer hear drumbeat condemna tion drug come leader cultur wonder drug use start climb dramat regard drug use survey nbc news report say effect messag,"How could  we have forgotten so quickly? Why is it we  no longer hear the drumbeat of condemna tion against drugs coming from our leaders  and our culture? Is it any wonder drug use  has started climbing again, and dramatically  so?""  Regarding the drug use survey, NBC News  reported: ""'Just Say No' was an effective  message  in  the '80s ","How could  we have forgotten so quickly? Why is it we  no longer hear the drumbeat of condemna tion against drugs coming from our leaders  and our culture? Is it any wonder drug use  has started climbing again, and dramatically  so?""  Regarding the drug use survey, NBC News  reported: ""'Just Say No' was an effective  message  in  the '80s "
